"id","stream_title","stream_url","stream_status","stream_type","is_rewind","category","poi","poi_detail","provider","provider_url","address","latitude","longitude","last_updated"
"yt_gmZqa0hXubA","日の出山LIVEカメラ【東京都 日の出町】","https://www.youtube.com/watch?v=gmZqa0hXubA","True","video","True","","","","(一社)日の出町観光協会","https://www.youtube.com/channel/UCsbLhJtyjuslvSMkWZkd36Q","","","","2025-01-28 01:22:13"
"yt_IvZiY3G0FfU","つるつる温泉LIVEカメラ【東京都 日の出町】","https://www.youtube.com/watch?v=IvZiY3G0FfU","True","video","True","","","","(一社)日の出町観光協会","https://www.youtube.com/channel/UCsbLhJtyjuslvSMkWZkd36Q","","35.779685","139.192497","2025-01-28 00:41:08"
"yt_nrx8PTmEYog","【LIVE】松江・宍道湖ライブカメラ","https://www.youtube.com/watch?v=nrx8PTmEYog","True","","True","","","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","","35.453436","133.049337","2025-01-28 00:43:04"
"yt_ak23Y7YxtEg","【LIVE】野鳥たちで賑わう 米子水鳥公園","https://www.youtube.com/watch?v=ak23Y7YxtEg","False","video","False","海岸","米子水鳥公園","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","鳥取県米子市彦名新田665","35.428136","133.330939","2025-01-28 01:05:33"
"yt_f8dmneVpM2k","【LIVE】鳥取市街地カメラ","https://www.youtube.com/watch?v=f8dmneVpM2k","True","","True","","","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","","35.515785","134.223764","2025-01-28 00:42:01"
"yt_MdsASCilABQ","【LIVE】大山 ますみず高原","https://www.youtube.com/watch?v=MdsASCilABQ","True","","True","","","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","","35.368264","133.514029","2025-01-28 00:43:16"
"yt_CDsZfaXqPUQ","【LIVE】野鳥たちで賑わう 米子水鳥公園","https://www.youtube.com/watch?v=CDsZfaXqPUQ","True","video","True","","","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","","35.44393","133.284463","2025-01-28 00:40:51"
"yt_zlNKmwYyLSA","【LIVE】道の駅　ゆうひパーク浜田","https://www.youtube.com/watch?v=zlNKmwYyLSA","True","","True","","","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","","34.889039","132.071229","2025-01-28 02:16:24"
"yt_STKhZ7otpNY","【LIVE】西郷港ライブカメラ　島根県隠岐の島町","https://www.youtube.com/watch?v=STKhZ7otpNY","True","video","True","","","","1ちゃん!日本海テレビ","https://www.youtube.com/channel/UCuE_--BXc0J7gIAtA_t4NnQ","","36.202915","133.334223","2025-01-28 02:16:40"
"yt_2LPSSyvj0nQ","【LIVE】道の駅 ゆうひパーク浜田 - YouTube","https://www.youtube.com/watch?v=2LPSSyvj0nQ","False","video","False","海岸","道の駅ゆうひパーク浜田","","1ちゃん!日本海テレビ - YouTube","https://www.youtube.com/@NKT1CHANNEL/streams","島根県浜田市原井町1203-1","34.899255","132.079883","2024-04-12 15:55:17"
"yt_d8KqEU3mUH4","【LIVE】西郷港ライブカメラ 島根県隠岐の島町 - YouTube","https://www.youtube.com/watch?v=d8KqEU3mUH4","False","video","False","海岸","西郷港","","1ちゃん!日本海テレビ - YouTube","https://www.youtube.com/@NKT1CHANNEL/streams","島根県隠岐郡隠岐の島町中町目貫ノ四58","36.213368","133.311705","2025-01-28 01:05:32"
"yt_2ugnw7n5ncs","【LIVE】大山 ますみず高原 - YouTube","https://www.youtube.com/watch?v=2ugnw7n5ncs","False","video","False","山岳","大山ますみず高原","","1ちゃん!日本海テレビ - YouTube","https://www.youtube.com/@NKT1CHANNEL/streams","鳥取県西伯郡伯耆町大内桝水高原1069-50","35.503704","134.238174","2024-04-13 19:16:16"
"yt_pStPoy_tnGM","【LIVE】鳥取市街地カメラ - YouTube","https://www.youtube.com/watch?v=pStPoy_tnGM","False","video","False","その他","鳥取市","鳥取市田園町","1ちゃん!日本海テレビ - YouTube","https://www.youtube.com/@NKT1CHANNEL/streams","鳥取県鳥取市田園町","35.503704","134.238174","2025-01-28 01:05:33"
"yt_ELFkEwpoNIY","【LIVE】松江・宍道湖ライブカメラ - YouTube","https://www.youtube.com/watch?v=ELFkEwpoNIY","False","video","False","その他","宍道湖","","1ちゃん!日本海テレビ - YouTube","https://www.youtube.com/@NKT1CHANNEL/streams","島根県","35.472212","133.05053","2025-01-28 01:05:32"
