stream_title,stream_url,stream_status,stream_type,is_rewind,category,poi,poi_detail,provider,provider_url,address,latitude,longitude,last_updated
"ライブカメラ　福井市（福井県）Fukui , Japan - Live Camera - YouTube",https://www.youtube.com/watch?v=Y1tPPc61i2Q,TRUE,video,TRUE,河川,福井市,セーレン株式会社福井本社,MRO北陸放送公式チャンネル - YouTube,https://www.youtube.com/@mro_ishikawa,福井県福井市毛矢1丁目10-1,36.06412,136.219452,2024-07-14 18:48:52
【LIVE】渋谷スクランブル交差点 / Shibuya Scramble Crossing Live Camera - YouTube,https://www.youtube.com/watch?v=Lfl2Nj_QRXU,FALSE,video,TRUE,その他,渋谷スクランブル交差点," ",ANNnewsCH - YouTube,https://www.youtube.com/@ANNnewsCH,東京都渋谷区道玄坂二丁目1,35.659396,139.698321,2024-07-27 21:59:35
東京 ライブ Tokyo Live (April 8th) Rainbow Bridge On-Ramp & Tokyo Sky Tree View - YouTube,https://www.youtube.com/watch?v=r74OyneNmg8,TRUE,video,TRUE,河川,レインボーブリッジ,,東京風景 - YouTube,https://www.youtube.com/@Tokyo_Views,東京都港区港南三丁目9,35.689568,139.691717,2024-04-08 17:59:09
新九頭竜橋 ライブカメラ - YouTube,https://www.youtube.com/watch?v=ogfzNJJlEHo,TRUE,video,TRUE,河川,新九頭竜橋,,福井ケーブルテレビ - YouTube,https://www.youtube.com/@fctv_091,福井県福井市東森田1丁目2415,36.06412,136.219452,2024-04-08 17:58:49
"足羽川・木田橋 ライブカメラ - YouTube ",https://www.youtube.com/watch?v=k3lKNrqtSyE,TRUE,video,TRUE,河川,足羽川,,"福井ケーブルテレビ - YouTube        ",https://www.youtube.com/@fctv_091,福井県福井市豊島1丁目3-1,36.06412,136.219452,2024-04-11 21:21:59
"国道８号線 大和田方面 ライブカメラ - YouTube        ",https://www.youtube.com/watch?v=jLZ_T91paAU,TRUE,video,TRUE,道路,"国道８号線　大和田方面 ",,"福井ケーブルテレビ - YouTube        ",https://www.youtube.com/@fctv_091,福井県福井市堂島町106,36.06412,136.219452,2024-04-18 16:10:39
"福井駅西口 ライブカメラ - YouTube        ",https://www.youtube.com/watch?v=IrXQ8JID0Gs,TRUE,video,TRUE,鉄道,福井駅西口,,"福井ケーブルテレビ - YouTube        ",https://www.youtube.com/@fctv_091,福井県福井市中央1丁目1,36.06412,136.219452,2024-04-08 18:11:53
"北陸自動車道南条ＳＡ付近 ライブカメラ - YouTube        ",https://www.youtube.com/watch?v=htp23noMgRo,TRUE,video,TRUE,道路,北陸自動車道南条ＳＡ付近,,"福井ケーブルテレビ - YouTube        ",https://www.youtube.com/@fctv_091,福井県南条郡南越前町牧谷39,36.065244,136.221791,2024-04-08 18:14:58
"三国・サンセットビーチ ライブカメラ - YouTube   ",https://www.youtube.com/watch?v=CIjhFpsN-3k,TRUE,video,TRUE,海岸,三国・サンセットビーチ,日帰り温泉 三国温泉ゆあぽ～と　屋外テラス,"福井ケーブルテレビ - YouTube        ",https://www.youtube.com/@fctv_091,福井県坂井市三国町宿米ケ脇4丁目9,36.065244,136.221791,2024-04-08 18:19:59
河野・北前船主の館右近家 ライブカメラ - YouTube,https://www.youtube.com/watch?v=cG_-7ItG0Mk,TRUE,video,TRUE,海岸,南越前町河野地区の海,"北前船主の館右近家 西洋館 ","福井ケーブルテレビ - YouTube        ",https://www.youtube.com/@fctv_091,福井県南条郡南越前町河野2-15,36.065244,136.221791,2024-04-08 18:21:35
"【富山テレビ】北アルプス立山室堂お天気カメラ ライブ配信 - YouTube   ",https://www.youtube.com/watch?v=Qn0VMg6eJPw,FALSE,video,TRUE,山岳,北アルプス立山室堂,,"富山テレビ放送 公式チャンネル - YouTube        ",https://www.youtube.com/@toyama_tv,富山県中新川郡立山町芦峅寺,36.583675,137.581904,2024-04-08 18:36:06
“渚の駅”たてやまからのライブ映像,https://www.city.tateyama.chiba.jp/shoukan/page100190.html,TRUE,video,FALSE,海岸,館山港,渚の駅 たてやま,館山市役所,https://www.city.tateyama.chiba.jp/kankou-bunka/cate000156.html,千葉県館山市館山1564-1,34.996608,139.870085,2024-04-08 18:37:30
" ライブカメラ　金沢市（石川県）Kanazawa , Ishikawa , Japan - Live Camera - YouTube    ",https://www.youtube.com/watch?v=UMq8otOTTjU,FALSE,video,TRUE,道路,金沢市,,MRO北陸放送公式チャンネル - YouTube,https://www.youtube.com/@mro_ishikawa,石川県金沢市広坂一丁目2-1,36.561582,136.65889,2024-04-08 18:44:46
"【石川県・輪島市】被災地の天気は… Wajima, Ishikawa Japan #地震 #災害 #能登半島地震 #テレビ金沢 #ニュース - YouTube",https://www.youtube.com/watch?v=rXF9kQldlao,TRUE,video,TRUE,海岸,石川県輪島市,,【公式】テレビ金沢 - YouTube,https://www.youtube.com/@tv_kanazawa,石川県輪島市河井町四部69-甲,37.390557,136.899185,2024-04-08 18:55:30
【LIVE】七尾城山展望台ライブカメラ - YouTube,https://www.youtube.com/watch?v=RedTv9eu_F8,TRUE,video,TRUE,海岸,石川県七尾市,七尾城山展望台,七尾市公式YouTubeチャンネルNanao_city - YouTube,https://www.youtube.com/@nanaocity,石川県七尾市古城町,37.013729,136.978955,2024-04-08 18:53:35
"【石川県・珠洲市】被災地の天気は… Suzu, Ishikawa Japan #地震 #災害 #能登半島地震 #テレビ金沢 #ニュース - YouTube",https://www.youtube.com/watch?v=QVx30qT1_BI,TRUE,video,TRUE,その他,石川県珠洲市,,【公式】テレビ金沢 - YouTube,https://www.youtube.com/@tv_kanazawa,石川県珠洲市上戸町北方壱字6-2,37.436369,137.260406,2024-04-08 18:57:16
〈石川県宝達志水町〉今浜海岸ライブカメラ - YouTube,https://www.youtube.com/watch?v=pzmULgVLlQo,TRUE,video,TRUE,海岸,今浜海岸,,〈石川県宝達志水町〉今浜海岸ライブカメラ - YouTube,https://www.youtube.com/@user-ts6xu7dz1k,石川県羽咋郡宝達志水町今浜ソ1,36.862759,136.797557,2024-04-08 19:02:02
【ライブカメラ】美しい夕日の千里浜サンセット（石川県） 　　Chirihama Sunset LIVE camera - YouTube,https://www.youtube.com/watch?v=mrdsIr8dyTs,FALSE,video,TRUE,海岸,千里浜,能登千里浜レストハウス,北陸朝日放送公式チャンネル - YouTube,https://www.youtube.com/@habmigochannel,石川県羽咋市千里浜町タ4-1,36.8913595,136.766217,2024-04-08 19:12:51
" 北陸新幹線 金沢駅　ライブカメラ　 Kanazawa Station Live Webcam Ishikawa, Japan - YouTube",https://www.youtube.com/watch?v=i5ZEjaFK-II,TRUE,video,TRUE,鉄道,金沢駅,,北陸朝日放送公式チャンネル - YouTube,https://www.youtube.com/@habmigochannel,石川県金沢市木ノ新保町1-1,36.578194,136.648046,2024-04-08 19:29:54
ライブカメラ　北陸朝日放送（金沢市）本社前 HAB LIVE camera - YouTube,https://www.youtube.com/watch?v=a3fsiU6ilHU,FALSE,video,TRUE,その他,北陸朝日放送（金沢市）本社前,,北陸朝日放送公式チャンネル - YouTube,https://www.youtube.com/@habmigochannel,石川県金沢市松島一丁目32-2,36.5621532,136.603475,2024-04-08 19:34:16
国土交通省　片山津海岸塩浜地区,https://www.hrr.mlit.go.jp/kanazawa/bousai-info-ishikawa/bousai/camera/camera_jpeg/camera_frame.html?id=419,TRUE,video,FALSE,海岸,片山津海岸塩浜地区,,国土交通省　金沢河川国道事務所,https://www.hrr.mlit.go.jp/kanazawa/,石川県加賀市塩浜町い,36.302669,136.314685,2024-04-10 14:25:05
Madarao mountain resort ライブカメラ,https://www.madarao.jp/ski/live-camera,TRUE,video,FALSE,山岳,Madarrao mountain resort,,Madarrao mountain resort,https://www.madarao.jp/,新潟県妙高市樽本斑尾1052,37.025265,138.253485,2024-04-09 12:58:38
Camera1 貞昌院庭カメラ,https://www.myspotcam.com/onair/embedded/ozqT5hLQ/igXOXq,TRUE,video,FALSE,観光,貞昌院庭,,貞昌院,https://teishoin.net/live.html,神奈川県横浜市港南区上永谷五丁目1-3,35.400765,139.592237,2024-04-10 15:39:04
Camera2 貞昌院裏庭　池カメラ,https://www.myspotcam.com/onair/embedded/ozqT5hLQ/oM5z4g,TRUE,video,FALSE,観光,貞昌院裏庭 池,,貞昌院,https://teishoin.net/live.html,神奈川県横浜市港南区上永谷五丁目1-3,35.400765,139.592237,2024-04-10 15:40:41
Camera 3 貞昌院モノレール「まいれ～る」カメラ,https://www.myspotcam.com/onair/embedded/ozqT5hLQ/wq7N8F,TRUE,video,FALSE,鉄道,貞昌院モノレール「まいれ～る」,,貞昌院,https://teishoin.net/live.html,神奈川県横浜市港南区上永谷五丁目1,35.400765,139.592237,2024-04-10 15:43:04
Camera 4 貞昌院 茶室カメラ,https://www.myspotcam.com/onair/embedded/ozqT5hLQ/XOAJkn,TRUE,video,FALSE,観光,貞昌院 茶室,,貞昌院,https://teishoin.net/live.html,神奈川県横浜市港南区上永谷五丁目1-3,35.400765,139.592237,2024-04-10 15:45:00
I.C.T ライブカメラ(国道163号線（島ヶ原町区交差点）),https://www.igaportal.co.jp/livecamera/shinai/index.html,TRUE,video,FALSE,道路,国道163号線（島ヶ原町区交差点）,,伊賀ポータル,https://www.igaportal.co.jp/,三重県伊賀市島ヶ原6800-2,34.770733,136.05433,2024-04-11 1:03:36
I.C.T ライブカメラ(長田三軒家交差点),https://www.igaportal.co.jp/livecamera/shinai/02.html,TRUE,video,FALSE,道路,長田三軒家交差点,,伊賀ポータル,https://www.igaportal.co.jp/,三重県伊賀市長田6062-1,34.76715,136.093566,2024-04-11 1:03:42
I.C.T ライブカメラ(国道422号線（高砂交差点）),https://www.igaportal.co.jp/livecamera/shinai/03.html,TRUE,video,FALSE,道路,国道422号線（高砂交差点）,,伊賀ポータル,https://www.igaportal.co.jp/,三重県伊賀市三田986-1,34.794361,136.127279,2024-04-11 1:23:52
I.C.T ライブカメラ(県道138号線（小田西交差点）),https://www.igaportal.co.jp/livecamera/shinai/04.html,TRUE,video,FALSE,道路,県道138号線（小田西交差点）,,伊賀ポータル,https://www.igaportal.co.jp/,三重県伊賀市小田町瓜谷727,34.774187,136.119149,2024-04-11 1:07:41
I.C.T ライブカメラ(五月橋IC付近),https://www.igaportal.co.jp/livecamera/meihan/01.html,TRUE,video,FALSE,道路,五月橋IC付近,,伊賀ポータル,https://www.igaportal.co.jp/,奈良県山辺郡1-2−3,34.685231,135.832883,2024-04-11 1:12:08
I.C.T ライブカメラ(治田IC付近),https://www.igaportal.co.jp/livecamera/meihan/02.htmll,TRUE,video,FALSE,道路,治田IC付近,,伊賀ポータル,https://www.igaportal.co.jp/,三重県伊賀市治田,34.710864,136.075153,2024-04-11 1:13:43
